      X    TV radio newspaper sales
1     1 230.1  37.8      69.2  22.1
2     2  44.5  39.3      45.1  10.4
3     3  17.2  45.9      69.3   9.3
4     4 151.5  41.3      58.5  18.5
5     5 180.8  10.8      58.4  12.9
6     6   8.7  48.9      75.0   7.2
7     7  57.5  32.8      23.5  11.8
8     8 120.2  19.6      11.6  13.2
9     9 108.3    NA      34.0  27.1
10   10   8.6   2.1       1.0   4.8
11   11 199.8   2.6      21.2  10.6
12   12  66.1   5.8      24.2   8.6
13   13 214.7  24.0       4.0  17.4
14   14  23.8  35.1      65.9   9.2
15   15  97.5   7.6       7.2   9.7
16   16 204.1  32.9      46.0  19.0
17   17 195.4  47.7      52.9  22.4
18   18  67.8  36.6     114.0  12.5
19   19 281.4  39.6      55.8  24.4
20   20  69.2  20.5      18.3  11.3
21   21 147.3  23.9      19.1  14.6
22   22 218.4  27.7      53.4  18.0
23   23 237.4   5.1      23.5  12.5
24   24  13.2  15.9      49.6   5.6
25   25 228.3  16.9      26.2  15.5
26   26  62.3  12.6      18.3   9.7
27   27 262.9   3.5      19.5  12.0
28   28 142.9  29.3      12.6  15.0
29   29 240.1  16.7      22.9  15.9
30   30 248.8  27.1      22.9  18.9
31   31    NA  23.0      32.1  30.1
32   32  70.6  16.0      40.8  10.5
33   33 292.9  28.3      43.2  21.4
34   34 112.9  17.4      38.6  11.9
35   35  97.2   1.5      30.0   9.6
36   36 265.6  20.0       0.3  17.4
37   37  95.7   1.4       7.4   9.5
38   38 290.7   4.1       8.5  12.8
39   39 266.9  43.8       5.0  25.4
40   40  74.7  49.4      45.7  14.7
41   41  43.1  26.7      35.1  10.1
42   42 228.0  37.7      32.0  21.5
43   43 202.5  22.3      31.6  16.6
44   44 177.0  33.4      38.7  17.1
45   45 293.6  27.7       1.8  20.7
46   46 206.9   8.4      26.4  12.9
47   47  25.1  25.7      43.3   8.5
48   48 175.1  22.5      31.5  14.9
49   49  89.7   9.9      35.7  10.6
50   50 239.9  41.5      18.5  23.2
51   51 227.2  15.8      49.9  14.8
52   52  66.9  11.7      36.8   9.7
53   53 199.8   3.1      34.6  11.4
54   54 100.4   9.6       3.6  10.7
55   55 216.4  41.7      39.6  22.6
56   56 182.6  46.2      58.7  21.2
57   57 262.7  28.8      15.9  20.2
58   58 198.9  49.4      60.0  23.7
59   59   7.3  28.1      41.4   5.5
60   60 136.2  19.2      16.6  13.2
61   61 210.8  49.6      37.7  23.8
62   62 210.7  29.5       9.3  18.4
63   63  53.5   2.0      21.4   8.1
64   64 261.3  42.7      54.7  24.2
65   65 239.3  15.5      27.3  15.7
66   66 102.7  29.6       8.4  14.0
67   67 131.1  42.8      28.9  18.0
68   68  69.0   9.3       0.9   9.3
69   69  31.5  24.6       2.2   9.5
70   70 139.3  14.5      10.2  13.4
71   71 237.4  27.5      11.0  18.9
72   72 216.8  43.9      27.2  22.3
73   73 199.1  30.6      38.7  18.3
74   74 109.8  14.3      31.7  12.4
75   75  26.8  33.0      19.3   8.8
76   76 129.4   5.7      31.3  11.0
77   77 213.4  24.6      13.1  17.0
78   78  16.9  43.7      89.4   8.7
79   79  27.5   1.6      20.7   6.9
80   80 120.5  28.5      14.2  14.2
81   81   5.4  29.9       9.4   5.3
82   82 116.0   7.7      23.1  11.0
83   83  76.4  26.7      22.3  11.8
84   84 239.8   4.1      36.9  12.3
85   85  83.2  33.0        NA    NA
86   86  75.3  20.3      32.5  11.3
87   87  68.4  44.5      35.6  13.6
88   88 213.5  43.0      33.8  21.7
89   89 193.2  18.4      65.7  15.2
90   90  76.3  27.5      16.0  12.0
91   91 110.7  40.6      63.2  16.0
92   92  88.3  25.5      73.4  12.9
93   93 109.8  47.8      51.4  16.7
94   94 134.3   4.9       9.3  11.2
95   95  28.6   1.5      33.0   7.3
96   96 217.7  33.5      59.0  19.4
97   97 250.9  36.5      72.3  22.2
98   98 107.4  14.0      10.9  11.5
99   99 163.3  31.6      52.9  16.9
100 100 197.6   3.5       5.9  11.7
101 101 184.9  21.0      22.0  15.5
102 102 289.7  42.3      51.2  25.4
103 103 135.2  41.7      45.9  17.2
104 104 222.4   4.3      49.8  11.7
105 105 296.4  36.3     100.9  23.8
106 106 280.2  10.1      21.4  14.8
107 107 187.9  17.2      17.9  14.7
108 108 238.2  34.3       5.3  20.7
109 109 137.9  46.4      59.0  19.2
110 110  25.0  11.0      29.7   7.2
111 111  90.4   0.3      23.2   8.7
112 112  13.1   0.4      25.6   5.3
113 113 255.4  26.9       5.5  19.8
114 114 225.8   8.2      56.5  13.4
115 115 241.7  38.0      23.2  21.8
116 116 175.7  15.4       2.4  14.1
117 117 209.6  20.6      10.7  15.9
118 118  78.2  46.8      34.5  14.6
119 119  75.1  35.0      52.7  12.6
120 120 139.2  14.3      25.6  12.2
121 121  76.4   0.8      14.8   9.4
122 122 125.7  36.9      79.2  15.9
123 123  19.4  16.0      22.3   6.6
124 124 141.3  26.8      46.2  15.5
125 125  18.8  21.7      50.4   7.0
126 126 224.0   2.4      15.6  11.6
127 127 123.1  34.6      12.4  15.2
128 128 229.5  32.3      74.2  19.7
129 129  87.2  11.8      25.9  10.6
130 130   7.8  38.9      50.6   6.6
131 131  80.2   0.0       9.2   8.8
132 132 220.3  49.0       3.2  24.7
133 133  59.6  12.0      43.1   9.7
134 134   0.7  39.6       8.7   1.6
135 135 265.2   2.9      43.0  12.7
136 136   8.4  27.2       2.1   5.7
137 137 219.8  33.5      45.1  19.6
138 138  36.9  38.6      65.6  10.8
139 139  48.3  47.0       8.5  11.6
140 140  25.6  39.0       9.3   9.5
141 141 273.7  28.9      59.7  20.8
142 142 223.5  26.2      89.0    NA
143 143  43.0  25.9      20.5   9.6
144 144 184.9  43.9       1.7  20.7
145 145  73.4  17.0      12.9  10.9
146 146 193.7  35.4      75.6  19.2
147 147 220.5  33.2      37.9  20.1
148 148 104.6   5.7      34.4  10.4
149 149  96.2  14.8      38.9  11.4
150 150 140.3   1.9       9.0  10.3
151 151 240.1   7.3       8.7  13.2
152 152 243.2  49.0      44.3  25.4
153 153  38.0  40.3      11.9  10.9
154 154  44.7  25.8      20.6  10.1
155 155 280.7  13.9      37.0  16.1
156 156 121.0   8.4      48.7  11.6
157 157 197.6  23.3      14.2  16.6
158 158 171.3  39.7      37.7  19.0
159 159 187.8  21.1       9.5  15.6
160 160   4.1  11.6       5.7   3.2
161 161  93.9  43.5      50.5  15.3
162 162 149.8   1.3      24.3  10.1
163 163  11.7  36.9      45.2   7.3
164 164 131.7  18.4      34.6  12.9
165 165 172.5  18.1      30.7  14.4
166 166  85.7  35.8      49.3  13.3
167 167 188.4  18.1      25.6  14.9
168 168 163.5  36.8       7.4  18.0
169 169 117.2  14.7       5.4  11.9
170 170 234.5   3.4      84.8  11.9
171 171  17.9  37.6      21.6   8.0
172 172 206.8   5.2      19.4  12.2
173 173 215.4  23.6      57.6  17.1
174 174 284.3  10.6       6.4  15.0
175 175  50.0  11.6      18.4   8.4
176 176 164.5  20.9      47.4  14.5
177 177  19.6  20.1      17.0   7.6
178 178 168.4   7.1      12.8  11.7
179 179 222.4   3.4      13.1  11.5
180 180 276.9  48.9      41.8  27.0
181 181 248.4  30.2      20.3  20.2
182 182 170.2   7.8      35.2  11.7
183 183 276.7   2.3      23.7  11.8
184 184 165.6  10.0      17.6  12.6
185 185 156.6   2.6       8.3  10.5
186 186 218.5   5.4      27.4  12.2
187 187  56.2   5.7      29.7   8.7
188 188 287.6  43.0      71.8  26.2
189 189 253.8  21.3      30.0  17.6
190 190 205.0  45.1      19.6  22.6
191 191 139.5   2.1      26.6  10.3
192 192 191.1  28.7      18.2  17.3
193 193 286.0  13.9       3.7  15.9
194 194  18.7  12.1      23.4   6.7
195 195  39.5  41.1       5.8  10.8
196 196  75.5  10.8       6.0   9.9
197 197  17.2   4.1      31.6   5.9
198 198 166.8  42.0       3.6  19.6
199 199   3.8  77.3        NA    NA
200 200 149.7  35.6       6.0  17.3
 [ reached 'max' / getOption("max.print") -- omitted 5 rows ]
      X    TV radio newspaper sales
1     1 230.1  37.8      69.2  22.1
2     2  44.5  39.3      45.1  10.4
3     3  17.2  45.9      69.3   9.3
4     4 151.5  41.3      58.5  18.5
5     5 180.8  10.8      58.4  12.9
6     6   8.7  48.9      75.0   7.2
7     7  57.5  32.8      23.5  11.8
8     8 120.2  19.6      11.6  13.2
10   10   8.6   2.1       1.0   4.8
11   11 199.8   2.6      21.2  10.6
12   12  66.1   5.8      24.2   8.6
13   13 214.7  24.0       4.0  17.4
14   14  23.8  35.1      65.9   9.2
15   15  97.5   7.6       7.2   9.7
16   16 204.1  32.9      46.0  19.0
17   17 195.4  47.7      52.9  22.4
18   18  67.8  36.6     114.0  12.5
19   19 281.4  39.6      55.8  24.4
20   20  69.2  20.5      18.3  11.3
21   21 147.3  23.9      19.1  14.6
22   22 218.4  27.7      53.4  18.0
23   23 237.4   5.1      23.5  12.5
24   24  13.2  15.9      49.6   5.6
25   25 228.3  16.9      26.2  15.5
26   26  62.3  12.6      18.3   9.7
27   27 262.9   3.5      19.5  12.0
28   28 142.9  29.3      12.6  15.0
29   29 240.1  16.7      22.9  15.9
30   30 248.8  27.1      22.9  18.9
32   32  70.6  16.0      40.8  10.5
33   33 292.9  28.3      43.2  21.4
34   34 112.9  17.4      38.6  11.9
35   35  97.2   1.5      30.0   9.6
36   36 265.6  20.0       0.3  17.4
37   37  95.7   1.4       7.4   9.5
38   38 290.7   4.1       8.5  12.8
39   39 266.9  43.8       5.0  25.4
40   40  74.7  49.4      45.7  14.7
41   41  43.1  26.7      35.1  10.1
42   42 228.0  37.7      32.0  21.5
43   43 202.5  22.3      31.6  16.6
44   44 177.0  33.4      38.7  17.1
45   45 293.6  27.7       1.8  20.7
46   46 206.9   8.4      26.4  12.9
47   47  25.1  25.7      43.3   8.5
48   48 175.1  22.5      31.5  14.9
49   49  89.7   9.9      35.7  10.6
50   50 239.9  41.5      18.5  23.2
51   51 227.2  15.8      49.9  14.8
52   52  66.9  11.7      36.8   9.7
53   53 199.8   3.1      34.6  11.4
54   54 100.4   9.6       3.6  10.7
55   55 216.4  41.7      39.6  22.6
56   56 182.6  46.2      58.7  21.2
57   57 262.7  28.8      15.9  20.2
58   58 198.9  49.4      60.0  23.7
59   59   7.3  28.1      41.4   5.5
60   60 136.2  19.2      16.6  13.2
61   61 210.8  49.6      37.7  23.8
62   62 210.7  29.5       9.3  18.4
63   63  53.5   2.0      21.4   8.1
64   64 261.3  42.7      54.7  24.2
65   65 239.3  15.5      27.3  15.7
66   66 102.7  29.6       8.4  14.0
67   67 131.1  42.8      28.9  18.0
68   68  69.0   9.3       0.9   9.3
69   69  31.5  24.6       2.2   9.5
70   70 139.3  14.5      10.2  13.4
71   71 237.4  27.5      11.0  18.9
72   72 216.8  43.9      27.2  22.3
73   73 199.1  30.6      38.7  18.3
74   74 109.8  14.3      31.7  12.4
75   75  26.8  33.0      19.3   8.8
76   76 129.4   5.7      31.3  11.0
77   77 213.4  24.6      13.1  17.0
78   78  16.9  43.7      89.4   8.7
79   79  27.5   1.6      20.7   6.9
80   80 120.5  28.5      14.2  14.2
81   81   5.4  29.9       9.4   5.3
82   82 116.0   7.7      23.1  11.0
83   83  76.4  26.7      22.3  11.8
84   84 239.8   4.1      36.9  12.3
86   86  75.3  20.3      32.5  11.3
87   87  68.4  44.5      35.6  13.6
88   88 213.5  43.0      33.8  21.7
89   89 193.2  18.4      65.7  15.2
90   90  76.3  27.5      16.0  12.0
91   91 110.7  40.6      63.2  16.0
92   92  88.3  25.5      73.4  12.9
93   93 109.8  47.8      51.4  16.7
94   94 134.3   4.9       9.3  11.2
95   95  28.6   1.5      33.0   7.3
96   96 217.7  33.5      59.0  19.4
97   97 250.9  36.5      72.3  22.2
98   98 107.4  14.0      10.9  11.5
99   99 163.3  31.6      52.9  16.9
100 100 197.6   3.5       5.9  11.7
101 101 184.9  21.0      22.0  15.5
102 102 289.7  42.3      51.2  25.4
103 103 135.2  41.7      45.9  17.2
104 104 222.4   4.3      49.8  11.7
105 105 296.4  36.3     100.9  23.8
106 106 280.2  10.1      21.4  14.8
107 107 187.9  17.2      17.9  14.7
108 108 238.2  34.3       5.3  20.7
109 109 137.9  46.4      59.0  19.2
110 110  25.0  11.0      29.7   7.2
111 111  90.4   0.3      23.2   8.7
112 112  13.1   0.4      25.6   5.3
113 113 255.4  26.9       5.5  19.8
114 114 225.8   8.2      56.5  13.4
115 115 241.7  38.0      23.2  21.8
116 116 175.7  15.4       2.4  14.1
117 117 209.6  20.6      10.7  15.9
118 118  78.2  46.8      34.5  14.6
119 119  75.1  35.0      52.7  12.6
120 120 139.2  14.3      25.6  12.2
121 121  76.4   0.8      14.8   9.4
122 122 125.7  36.9      79.2  15.9
123 123  19.4  16.0      22.3   6.6
124 124 141.3  26.8      46.2  15.5
125 125  18.8  21.7      50.4   7.0
126 126 224.0   2.4      15.6  11.6
127 127 123.1  34.6      12.4  15.2
128 128 229.5  32.3      74.2  19.7
129 129  87.2  11.8      25.9  10.6
130 130   7.8  38.9      50.6   6.6
131 131  80.2   0.0       9.2   8.8
132 132 220.3  49.0       3.2  24.7
133 133  59.6  12.0      43.1   9.7
134 134   0.7  39.6       8.7   1.6
135 135 265.2   2.9      43.0  12.7
136 136   8.4  27.2       2.1   5.7
137 137 219.8  33.5      45.1  19.6
138 138  36.9  38.6      65.6  10.8
139 139  48.3  47.0       8.5  11.6
140 140  25.6  39.0       9.3   9.5
141 141 273.7  28.9      59.7  20.8
143 143  43.0  25.9      20.5   9.6
144 144 184.9  43.9       1.7  20.7
145 145  73.4  17.0      12.9  10.9
146 146 193.7  35.4      75.6  19.2
147 147 220.5  33.2      37.9  20.1
148 148 104.6   5.7      34.4  10.4
149 149  96.2  14.8      38.9  11.4
150 150 140.3   1.9       9.0  10.3
151 151 240.1   7.3       8.7  13.2
152 152 243.2  49.0      44.3  25.4
153 153  38.0  40.3      11.9  10.9
154 154  44.7  25.8      20.6  10.1
155 155 280.7  13.9      37.0  16.1
156 156 121.0   8.4      48.7  11.6
157 157 197.6  23.3      14.2  16.6
158 158 171.3  39.7      37.7  19.0
159 159 187.8  21.1       9.5  15.6
160 160   4.1  11.6       5.7   3.2
161 161  93.9  43.5      50.5  15.3
162 162 149.8   1.3      24.3  10.1
163 163  11.7  36.9      45.2   7.3
164 164 131.7  18.4      34.6  12.9
165 165 172.5  18.1      30.7  14.4
166 166  85.7  35.8      49.3  13.3
167 167 188.4  18.1      25.6  14.9
168 168 163.5  36.8       7.4  18.0
169 169 117.2  14.7       5.4  11.9
170 170 234.5   3.4      84.8  11.9
171 171  17.9  37.6      21.6   8.0
172 172 206.8   5.2      19.4  12.2
173 173 215.4  23.6      57.6  17.1
174 174 284.3  10.6       6.4  15.0
175 175  50.0  11.6      18.4   8.4
176 176 164.5  20.9      47.4  14.5
177 177  19.6  20.1      17.0   7.6
178 178 168.4   7.1      12.8  11.7
179 179 222.4   3.4      13.1  11.5
180 180 276.9  48.9      41.8  27.0
181 181 248.4  30.2      20.3  20.2
182 182 170.2   7.8      35.2  11.7
183 183 276.7   2.3      23.7  11.8
184 184 165.6  10.0      17.6  12.6
185 185 156.6   2.6       8.3  10.5
186 186 218.5   5.4      27.4  12.2
187 187  56.2   5.7      29.7   8.7
188 188 287.6  43.0      71.8  26.2
189 189 253.8  21.3      30.0  17.6
190 190 205.0  45.1      19.6  22.6
191 191 139.5   2.1      26.6  10.3
192 192 191.1  28.7      18.2  17.3
